Afar,aa,aawiki,aawiki/20150702
Abkhazian,ab,abwiki,abwiki/20150702
Acehnese,ace,acewiki,acewiki/20150702
Afrikaans,af,afwiki,afwiki/20150702
Akan,ak,akwiki,akwiki/20150702
Alemannic,als,alswiki,alswiki/20150702
Amharic,am,amwiki,amwiki/20150702
Anglo-Saxon,ang,angwiki,angwiki/20150702
Aragonese,an,anwiki,anwiki/20150702
Aramaic,arc,arcwiki,arcwiki/20150702
Arabic,ar,arwiki,arwiki/20150702
Egyptian Arabic,arz,arzwiki,arzwiki/20150702
Asturian,ast,astwiki,astwiki/20150702
Assamese,as,aswiki,aswiki/20150702
Avar,av,avwiki,avwiki/20150702
Aymara,ay,aywiki,aywiki/20150702
Azerbaijani,az,azwiki,azwiki/20150702
Bavarian,bar,barwiki,barwiki/20150702
Samogitian,bat-smg,bat_smgwiki,bat_smgwiki/20150702
Bashkir,ba,bawiki,bawiki/20150702
Central Bicolano,bcl,bclwiki,bclwiki/20150702
Belarusian,be,bewiki,bewiki/20150702
Bulgarian,bg,bgwiki,bgwiki/20150702
Bhojpuri,bh,bhwiki,bhwiki/20150702
Bislama,bi,biwiki,biwiki/20150702
Banjar,bjn,bjnwiki,bjnwiki/20150702
Bambara,bm,bmwiki,bmwiki/20150702
Bengali,bn,bnwiki,bnwiki/20150702
Tibetan,bo,bowiki,bowiki/20150702
Bishnupriya Manipuri,bpy,bpywiki,bpywiki/20150702
Breton,br,brwiki,brwiki/20150702
Bosnian,bs,bswiki,bswiki/20150702
Buginese,bug,bugwiki,bugwiki/20150702
Buryat,bxr,bxrwiki,bxrwiki/20150702
Catalan,ca,cawiki,cawiki/20150702
Chavacano,cbk-zam,cbk_zamwiki,cbk_zamwiki/20150702
Min Dong,cdo,cdowiki,cdowiki/20150702
Cebuano,ceb,cebwiki,cebwiki/20150702
Chechen,ce,cewiki,cewiki/20150702
Choctaw,cho,chowiki,chowiki/20150702
Cherokee,chr,chrwiki,chrwiki/20150702
Chamorro,ch,chwiki,chwiki/20150702
Cheyenne,chy,chywiki,chywiki/20150702
Sorani,ckb,ckbwiki,ckbwiki/20150702
Corsican,co,cowiki,cowiki/20150702
Crimean Tatar,crh,crhwiki,crhwiki/20150702
Cree,cr,crwiki,crwiki/20150702
Kashubian,csb,csbwiki,csbwiki/20150702
Czech,cs,cswiki,cswiki/20150702
Old Church Slavonic,cu,cuwiki,cuwiki/20150702
Chuvash,cv,cvwiki,cvwiki/20150702
Welsh,cy,cywiki,cywiki/20150702
Danish,da,dawiki,dawiki/20150702
German1,de,dewiki,dewiki/20150703
German2,de,dewiki,dewiki/20150703
German3,de,dewiki,dewiki/20150703
German4,de,dewiki,dewiki/20150703
Zazaki,diq,diqwiki,diqwiki/20150702
Lower Sorbian,dsb,dsbwiki,dsbwiki/20150702
Divehi,dv,dvwiki,dvwiki/20150702
Dzongkha,dz,dzwiki,dzwiki/20150702
Ewe,ee,eewiki,eewiki/20150702
Greek,el,elwiki,elwiki/20150702
Emilian-Romagnol,eml,emlwiki,emlwiki/20150702
English1,en,enwiki,enwiki/20150702
English2,en,enwiki,enwiki/20150702
English3,en,enwiki,enwiki/20150702
English4,en,enwiki,enwiki/20150702
English5,en,enwiki,enwiki/20150702
English6,en,enwiki,enwiki/20150702
English7,en,enwiki,enwiki/20150702
English8,en,enwiki,enwiki/20150702
English9,en,enwiki,enwiki/20150702
English10,en,enwiki,enwiki/20150702
English11,en,enwiki,enwiki/20150702
English12,en,enwiki,enwiki/20150702
English13,en,enwiki,enwiki/20150702
English14,en,enwiki,enwiki/20150702
English15,en,enwiki,enwiki/20150702
English16,en,enwiki,enwiki/20150702
English17,en,enwiki,enwiki/20150702
English18,en,enwiki,enwiki/20150702
English19,en,enwiki,enwiki/20150702
English20,en,enwiki,enwiki/20150702
English21,en,enwiki,enwiki/20150702
English22,en,enwiki,enwiki/20150702
English23,en,enwiki,enwiki/20150702
English24,en,enwiki,enwiki/20150702
English25,en,enwiki,enwiki/20150702
English26,en,enwiki,enwiki/20150702
English27,en,enwiki,enwiki/20150702
Esperanto,eo,eowiki,eowiki/20150702
Spanish1,es,eswiki,eswiki/20150703
Spanish2,es,eswiki,eswiki/20150703
Spanish3,es,eswiki,eswiki/20150703
Spanish4,es,eswiki,eswiki/20150703
Estonian,et,etwiki,etwiki/20150702
Basque,eu,euwiki,euwiki/20150703
Extremaduran,ext,extwiki,extwiki/20150702
Persian,fa,fawiki,fawiki/20150702
Fula,ff,ffwiki,ffwiki/20150702
V›ro,fiu-vro,fiu_vrowiki,fiu_vrowiki/20150702
Finnish,fi,fiwiki,fiwiki/20150702
Fijian,fj,fjwiki,fjwiki/20150702
Faroese,fo,fowiki,fowiki/20150702
Franco-Provençal,frp,frpwiki,frpwiki/20150702
North Frisian,frr,frrwiki,frrwiki/20150702
French1,fr,frwiki,frwiki/20150703
French2,fr,frwiki,frwiki/20150703
French3,fr,frwiki,frwiki/20150703
French4,fr,frwiki,frwiki/20150703
Friulian,fur,furwiki,furwiki/20150702
West Frisian,fy,fywiki,fywiki/20150702
Gagauz,gag,gagwiki,gagwiki/20150702
Gan,gan,ganwiki,ganwiki/20150702
Irish,ga,gawiki,gawiki/20150702
Scottish Gaelic,gd,gdwiki,gdwiki/20150702
Gilaki,glk,glkwiki,glkwiki/20150702
Galician,gl,glwiki,glwiki/20150702
Guarani,gn,gnwiki,gnwiki/20150702
Goan Konkani,gom,gomwiki,gomwiki/20150703
Gothic,got,gotwiki,gotwiki/20150702
Gujarati,gu,guwiki,guwiki/20150702
Manx,gv,gvwiki,gvwiki/20150702
Hakka,hak,hakwiki,hakwiki/20150702
Hausa,ha,hawiki,hawiki/20150702
Hawaiian,haw,hawwiki,hawwiki/20150702
Hebrew,he,hewiki,hewiki/20150702
Fiji Hindi,hif,hifwiki,hifwiki/20150702
Hindi,hi,hiwiki,hiwiki/20150703
Hiri Motu,ho,howiki,howiki/20150702
Croatian,hr,hrwiki,hrwiki/20150702
Upper Sorbian,hsb,hsbwiki,hsbwiki/20150702
Haitian,ht,htwiki,htwiki/20150702
Hungarian,hu,huwiki,huwiki/20150702
Armenian,hy,hywiki,hywiki/20150702
Herero,hz,hzwiki,hzwiki/20150702
Interlingua,ia,iawiki,iawiki/20150702
Indonesian,id,idwiki,idwiki/20150702
Interlingue,ie,iewiki,iewiki/20150702
Igbo,ig,igwiki,igwiki/20150702
Sichuan Yi,ii,iiwiki,iiwiki/20150702
Inupiak,ik,ikwiki,ikwiki/20150702
Ilokano,ilo,ilowiki,ilowiki/20150702
Ido,io,iowiki,iowiki/20150702
Icelandic,is,iswiki,iswiki/20150702
Italian,it,itwiki,itwiki/20150703
Inuktitut,iu,iuwiki,iuwiki/20150702
Japanese,ja,jawiki,jawiki/20150703
Lojban,jbo,jbowiki,jbowiki/20150702
Javanese,jv,jvwiki,jvwiki/20150702
Karakalpak,kaa,kaawiki,kaawiki/20150702
Kabyle,kab,kabwiki,kabwiki/20150702
Georgian,ka,kawiki,kawiki/20150702
Kabardian,kbd,kbdwiki,kbdwiki/20150702
Kongo,kg,kgwiki,kgwiki/20150702
Kikuyu,ki,kiwiki,kiwiki/20150702
Kuanyama,kj,kjwiki,kjwiki/20150702
Kazakh,kk,kkwiki,kkwiki/20150702
Greenlandic,kl,klwiki,klwiki/20150702
Khmer,km,kmwiki,kmwiki/20150702
Kannada,kn,knwiki,knwiki/20150702
Komi-Permyak,koi,koiwiki,koiwiki/20150702
Korean,ko,kowiki,kowiki/20150702
Karachay-Balkar,krc,krcwiki,krcwiki/20150702
Kanuri,kr,krwiki,krwiki/20150702
Ripuarian,ksh,kshwiki,kshwiki/20150702
Kashmiri,ks,kswiki,kswiki/20150702
Kurdish,ku,kuwiki,kuwiki/20150702
Komi,kv,kvwiki,kvwiki/20150702
Cornish,kw,kwwiki,kwwiki/20150702
Kirghiz,ky,kywiki,kywiki/20150702
Ladino,lad,ladwiki,ladwiki/20150702
Latin,la,lawiki,lawiki/20150702
Lak,lbe,lbewiki,lbewiki/20150702
Luxembourgish,lb,lbwiki,lbwiki/20150702
Lezgian,lez,lezwiki,lezwiki/20150702
Luganda,lg,lgwiki,lgwiki/20150702
Ligurian,lij,lijwiki,lijwiki/20150702
Limburgish,li,liwiki,liwiki/20150702
Lombard,lmo,lmowiki,lmowiki/20150702
Lingala,ln,lnwiki,lnwiki/20150702
Lao,lo,lowiki,lowiki/20150702
Northern Luri,lrc,lrcwiki,lrcwiki/20150703
Latgalian,ltg,ltgwiki,ltgwiki/20150702
Lithuanian,lt,ltwiki,ltwiki/20150702
Latvian,lv,lvwiki,lvwiki/20150702
Maithili,mai,maiwiki,maiwiki/20150702
Banyumasan,map-bms,map_bmswiki,map_bmswiki/20150702
Moksha,mdf,mdfwiki,mdfwiki/20150702
Malagasy,mg,mgwiki,mgwiki/20150702
Meadow Mari,mhr,mhrwiki,mhrwiki/20150702
Marshallese,mh,mhwiki,mhwiki/20150702
Minangkabau,min,minwiki,minwiki/20150702
Maori,mi,miwiki,miwiki/20150702
Macedonian,mk,mkwiki,mkwiki/20150702
Malayalam,ml,mlwiki,mlwiki/20150702
Mongolian,mn,mnwiki,mnwiki/20150702
Moldavian,mo,mowiki,mowiki/20150702
Hill Mari,mrj,mrjwiki,mrjwiki/20150702
Marathi,mr,mrwiki,mrwiki/20150702
Malay,ms,mswiki,map_bmswiki/20150702
Malay,ms,mswiki,mswiki/20150702
Maltese,mt,mtwiki,mtwiki/20150702
Muscogee,mus,muswiki,muswiki/20150702
Mirandese,mwl,mwlwiki,mwlwiki/20150702
Burmese,my,myvwiki,myvwiki/20150702
Erzya,myv,mywiki,mywiki/20150702
Mazandarani,mzn,mznwiki,mznwiki/20150702
Nahuatl,nah,nahwiki,nahwiki/20150702
Neapolitan,nap,napwiki,napwiki/20150702
Nauruan,na,nawiki,nawiki/20150702
Dutch Low Saxon,nds-nl,nds_nlwiki,nds_nlwiki/20150702
Low Saxon,nds,ndswiki,ndswiki/20150702
Nepali,ne,newiki,newiki/20150702
Newar,new,newwiki,newwiki/20150702
Ndonga,ng,ngwiki,ngwiki/20150702
Dutch,nl,nlwiki,nlwiki/20150703
Dutch,nl,nlwiki,nds_nlwiki/20150702
Norwegian (Nynorsk),nn,nnwiki,nnwiki/20150702
Novial,nov,novwiki,novwiki/20150702
Norwegian (BokmŒl),no,nowiki,nowiki/20150702
Norman,nrm,nrmwiki,nrmwiki/20150702
Northern Sotho,nso,nsowiki,nsowiki/20150702
Navajo,nv,nvwiki,nvwiki/20150702
Chichewa,ny,nywiki,nywiki/20150702
Occitan,oc,ocwiki,ocwiki/20150702
Oromo,om,omwiki,omwiki/20150702
Oriya,or,orwiki,orwiki/20150702
Ossetian,os,oswiki,oswiki/20150702
Pangasinan,pag,pagwiki,pagwiki/20150702
Kapampangan,pam,pamwiki,pamwiki/20150702
Papiamentu,pap,papwiki,papwiki/20150702
Punjabi,pa,pawiki,pawiki/20150702
Picard,pcd,pcdwiki,pcdwiki/20150702
Pennsylvania German,pdc,pdcwiki,pdcwiki/20150702
Palatinate German,pfl,pflwiki,pflwiki/20150702
Norfolk,pih,pihwiki,pihwiki/20150702
Pali,pi,piwiki,piwiki/20150702
Polish,pl,plwiki,plwiki/20150703
Piedmontese,pms,pmswiki,pmswiki/20150702
Western Punjabi,pnb,pnbwiki,pnbwiki/20150702
Pontic,pnt,pntwiki,pntwiki/20150702
Pashto,ps,pswiki,pswiki/20150702
Portuguese,pt,ptwiki,ptwiki/20150703
Quechua,qu,quwiki,quwiki/20150702
Romansh,rm,rmwiki,rmwiki/20150702
Romani,rmy,rmywiki,rmywiki/20150702
Kirundi,rn,rnwiki,rnwiki/20150702
Aromanian,roa-rup,roa_rupwiki,roa_rupwiki/20150702
Tarantino,roa-tara,roa_tarawiki,roa_tarawiki/20150702
Romanian,ro,rowiki,rowiki/20150702
Rusyn,rue,ruewiki,ruewiki/20150702
Russian1,ru,ruwiki,ruwiki/20150703
Russian2,ru,ruwiki,ruwiki/20150703
Russian3,ru,ruwiki,ruwiki/20150703
Russian4,ru,ruwiki,ruwiki/20150703
Kinyarwanda,rw,rwwiki,rwwiki/20150702
Sakha,sah,sahwiki,sahwiki/20150702
Sanskrit,sa,sawiki,sawiki/20150702
Sicilian,scn,scnwiki,scnwiki/20150702
Scots,sco,scowiki,scowiki/20150702
Sardinian,sc,scwiki,scwiki/20150702
Sindhi,sd,sdwiki,sdwiki/20150702
Northern Sami,se,sewiki,sewiki/20150702
Sango,sg,sgwiki,sgwiki/20150702
Serbo-Croatian,sh,shwiki,shwiki/20150702
Simple English,simple,simplewiki,simplewiki/20150702
Sinhalese,si,siwiki,siwiki/20150702
Slovak,sk,skwiki,skwiki/20150702
Slovenian,sl,slwiki,slwiki/20150702
Samoan,sm,smwiki,smwiki/20150702
Shona,sn,snwiki,snwiki/20150702
Somali,so,sowiki,sowiki/20150702
Albanian,sq,sqwiki,sqwiki/20150702
Sranan,srn,srnwiki,srnwiki/20150702
Serbian,sr,srwiki,srwiki/20150702
Swati,ss,sswiki,sswiki/20150702
Saterland Frisian,stq,stqwiki,stqwiki/20150702
Sesotho,st,stwiki,stwiki/20150702
Sundanese,su,suwiki,suwiki/20150702
Swedish,sv,svwiki,svwiki/20150702
Swahili,sw,swwiki,swwiki/20150702
Silesian,szl,szlwiki,szlwiki/20150702
Tamil,ta,tawiki,tawiki/20150702
Tamil,ta,tawiki,testwikidatawiki/20150702
Tetum,tet,tetwiki,tetwiki/20150702
Telugu,te,tewiki,tewiki/20150702
Tajik,tg,tgwiki,tgwiki/20150702
Thai,th,thwiki,thwiki/20150702
Tigrinya,ti,tiwiki,tiwiki/20150702
Turkmen,tk,tkwiki,tkwiki/20150702
Tagalog,tl,tlwiki,tlwiki/20150702
Tswana,tn,tnwiki,tnwiki/20150702
Tongan,to,towiki,towiki/20150702
Tok Pisin,tpi,tpiwiki,tpiwiki/20150702
Turkish,tr,trwiki,trwiki/20150702
Tsonga,ts,tswiki,tswiki/20150702
Tatar,tt,ttwiki,ttwiki/20150702
Tumbuka,tum,tumwiki,tumwiki/20150702
Twi,tw,twwiki,twwiki/20150702
Tuvan,tyv,tyvwiki,tyvwiki/20150702
Tahitian,ty,tywiki,tywiki/20150702
Udmurt,udm,udmwiki,udmwiki/20150702
Uyghur,ug,ugwiki,ugwiki/20150702
Ukrainian,uk,ukwiki,ukwiki/20150702
Urdu,ur,urwiki,urwiki/20150702
Uzbek,uz,uzwiki,uzwiki/20150702
Venetian,vec,vecwiki,vecwiki/20150702
Vepsian,vep,vepwiki,vepwiki/20150702
Venda,ve,vewiki,vewiki/20150703
Vietnamese,vi,viwiki,viwiki/20150702
West Flemish,vls,vlswiki,vlswiki/20150702
VolapŸk,vo,vowiki,vowiki/20150702
Waray-Waray,war,warwiki,warwiki/20150702
Walloon,wa,wawiki,wawiki/20150702
Wolof,wo,wowiki,wowiki/20150702
Kalmyk,xal,xalwiki,xalwiki/20150702
Xhosa,xh,xhwiki,xhwiki/20150702
Mingrelian,xmf,xmfwiki,xmfwiki/20150702
Yiddish,yi,yiwiki,yiwiki/20150702
Yoruba,yo,yowiki,yowiki/20150702
Zhuang,za,zawiki,zawiki/20150702
Zeelandic,zea,zeawiki,zeawiki/20150702
Classical Chinese,zh-classical,zh_classicalwiki,zh_classicalwiki/20150702
Min Nan,zh-min-nan,zh_min_nanwiki,zh_min_nanwiki/20150702
Cantonese,zh-yue,zh_yuewiki,zh_yuewiki/20150702
Chinese,zh,zhwiki,zhwiki/20150703
Zulu,zu,zuwiki,zuwiki/20150702
